IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
23.225.64.52,10443,443,TRUE,HK|香港,Asia Pacific,Hong Kong,45,10.21
47.76.189.214,443,443,TRUE,HK|香港,Asia Pacific,Hong Kong,16,10.99
103.235.18.253,11189,443,TRUE,HK|香港,Asia Pacific,Hong Kong,46,11.61
156.251.176.109,32175,443,TRUE,HK|香港,Asia Pacific,Hong Kong,50,17.81
156.251.176.212,19297,443,TRUE,HK|香港,Asia Pacific,Hong Kong,45,19.68
43.154.96.33,80,80,FALSE,HK|香港,Asia Pacific,Hong Kong,17,19.97
103.20.222.113,42936,443,TRUE,HK|香港,Asia Pacific,Hong Kong,45,25.1
183.232.159.226,2052,2086,FALSE,HK|香港,Asia Pacific,Hong Kong,17,25.73
103.20.223.95,18636,443,TRUE,HK|香港,Asia Pacific,Hong Kong,49,28.38
104.155.193.180,80,80,FALSE,HK|香港,Asia Pacific,Hong Kong,48,29.1
47.238.6.102,2082,2082,FALSE,HK|香港,Asia Pacific,Hong Kong,17,33.46
43.154.96.33,443,443,TRUE,HK|香港,Asia Pacific,Hong Kong,18,44.03
154.17.5.183,54403,443,TRUE,US|洛杉磯,North America,Los Angeles,171,10.17
172.247.129.59,34237,2096,TRUE,US|洛杉磯,North America,Los Angeles,170,10.38
91.149.239.198,443,443,TRUE,US|洛杉磯,North America,Los Angeles,169,10.5
154.21.89.73,27629,443,TRUE,US|洛杉磯,North America,Los Angeles,177,10.9
38.47.114.55,34237,2096,TRUE,US|洛杉磯,North America,Los Angeles,174,10.96
154.17.228.123,19063,443,TRUE,US|洛杉磯,North America,Los Angeles,171,10.99
154.17.229.59,8443,443,TRUE,US|洛杉磯,North America,Los Angeles,166,12.15
154.17.229.161,48960,443,TRUE,US|洛杉磯,North America,Los Angeles,168,12.5
154.17.229.161,46697,443,TRUE,US|洛杉磯,North America,Los Angeles,160,12.82
154.21.92.8,32011,443,TRUE,US|洛杉磯,North America,Los Angeles,175,12.85
154.21.82.7,50008,443,TRUE,US|洛杉磯,North America,Los Angeles,168,12.96
154.17.9.70,882,443,TRUE,US|洛杉磯,North America,Los Angeles,160,13.67
154.17.231.209,41113,443,TRUE,US|洛杉磯,North America,Los Angeles,173,13.67
154.17.230.212,54718,443,TRUE,US|洛杉磯,North America,Los Angeles,165,14.43
103.117.102.7,45454,443,TRUE,JA|東京,Asia Pacific,Tokyo,64,10.51
