IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
23.158.136.38,56725,443,TRUE,US|洛杉磯,North America,Los Angeles,162,8.09
154.17.12.190,49920,443,TRUE,US|洛杉磯,North America,Los Angeles,170,8.12
154.9.238.163,20003,443,TRUE,US|洛杉磯,North America,Los Angeles,166,8.12
154.17.12.190,49071,443,TRUE,US|洛杉磯,North America,Los Angeles,165,8.23
23.166.168.67,13117,443,TRUE,US|洛杉磯,North America,Los Angeles,162,8.24
154.17.12.190,49998,443,TRUE,US|洛杉磯,North America,Los Angeles,164,8.25
154.23.244.100,56529,443,TRUE,US|洛杉磯,North America,Los Angeles,171,8.27
154.17.12.190,49372,443,TRUE,US|洛杉磯,North America,Los Angeles,166,8.27
154.17.29.69,6667,443,TRUE,US|洛杉磯,North America,Los Angeles,166,8.28
154.17.12.190,49723,443,TRUE,US|洛杉磯,North America,Los Angeles,169,8.33
154.21.93.124,14280,443,TRUE,US|洛杉磯,North America,Los Angeles,162,8.42
154.21.94.95,18204,443,TRUE,US|洛杉磯,North America,Los Angeles,167,8.55
154.17.12.190,49854,443,TRUE,US|洛杉磯,North America,Los Angeles,165,8.59
154.17.27.28,22288,443,TRUE,US|洛杉磯,North America,Los Angeles,164,8.66
154.17.12.190,49800,443,TRUE,US|洛杉磯,North America,Los Angeles,162,8.66
91.149.239.62,443,443,TRUE,US|洛杉磯,North America,Los Angeles,169,8.69
154.17.29.112,32568,443,TRUE,US|洛杉磯,North America,Los Angeles,171,8.69
154.17.31.108,19355,443,TRUE,US|洛杉磯,North America,Los Angeles,165,8.72
154.17.12.190,49657,443,TRUE,US|洛杉磯,North America,Los Angeles,169,8.78
154.7.181.36,37593,443,TRUE,US|洛杉磯,North America,Los Angeles,165,8.83
154.17.12.190,49461,443,TRUE,US|洛杉磯,North America,Los Angeles,160,8.86
154.17.12.190,49067,443,TRUE,US|洛杉磯,North America,Los Angeles,173,8.96
154.17.12.190,49296,443,TRUE,US|洛杉磯,North America,Los Angeles,170,9
202.91.35.9,20443,443,TRUE,US|洛杉磯,North America,Los Angeles,189,9.2
154.21.85.152,46697,443,TRUE,US|洛杉磯,North America,Los Angeles,172,9.25
154.7.180.140,51825,443,TRUE,US|洛杉磯,North America,Los Angeles,175,9.27
154.17.12.190,49856,443,TRUE,US|洛杉磯,North America,Los Angeles,171,9.28
207.60.50.225,21825,443,TRUE,US|洛杉磯,North America,Los Angeles,163,9.49
23.169.184.96,29148,443,TRUE,US|洛杉磯,North America,Los Angeles,165,9.5
154.17.12.190,49420,443,TRUE,US|洛杉磯,North America,Los Angeles,164,9.58
154.9.241.183,16356,443,TRUE,US|洛杉磯,North America,Los Angeles,181,9.71
154.21.80.55,13171,443,TRUE,US|洛杉磯,North America,Los Angeles,171,9.8
23.166.168.196,443,443,TRUE,US|洛杉磯,North America,Los Angeles,162,9.8
154.17.12.190,49523,443,TRUE,US|洛杉磯,North America,Los Angeles,164,9.85
154.9.250.154,34237,2096,TRUE,US|洛杉磯,North America,Los Angeles,172,9.93
23.169.184.179,53763,443,TRUE,US|洛杉磯,North America,Los Angeles,171,10.01
154.9.241.153,23091,443,TRUE,US|洛杉磯,North America,Los Angeles,179,10.03
154.17.12.190,49318,443,TRUE,US|洛杉磯,North America,Los Angeles,167,10.04
154.9.241.153,44075,443,TRUE,US|洛杉磯,North America,Los Angeles,182,10.08
38.47.116.136,34237,2096,TRUE,US|洛杉磯,North America,Los Angeles,163,10.17
34.36.41.236,80,80,FALSE,US|洛杉磯,North America,Los Angeles,168,10.24
154.17.12.190,49213,443,TRUE,US|洛杉磯,North America,Los Angeles,168,10.25
38.207.171.114,33375,443,TRUE,US|洛杉磯,North America,Los Angeles,167,10.28
38.47.114.85,34237,2096,TRUE,US|洛杉磯,North America,Los Angeles,165,10.31
154.17.12.190,49397,443,TRUE,US|洛杉磯,North America,Los Angeles,161,10.35
23.166.168.86,13283,443,TRUE,US|洛杉磯,North America,Los Angeles,168,10.36
2.59.151.85,48333,443,TRUE,US|洛杉磯,North America,Los Angeles,162,10.46
154.17.30.48,16886,443,TRUE,US|洛杉磯,North America,Los Angeles,159,10.48
154.17.12.190,49357,443,TRUE,US|洛杉磯,North America,Los Angeles,164,10.55
154.17.19.18,28479,443,TRUE,US|洛杉磯,North America,Los Angeles,160,10.61
23.165.248.56,22389,443,TRUE,US|洛杉磯,North America,Los Angeles,162,10.65
154.17.12.190,49038,443,TRUE,US|洛杉磯,North America,Los Angeles,166,10.83
104.167.247.176,28619,443,TRUE,US|洛杉磯,North America,Los Angeles,164,10.9
154.21.81.59,59265,443,TRUE,US|洛杉磯,North America,Los Angeles,173,10.92
154.21.95.60,20881,443,TRUE,US|洛杉磯,North America,Los Angeles,166,11
154.17.29.48,17352,443,TRUE,US|洛杉磯,North America,Los Angeles,169,11.19
154.17.230.212,54718,443,TRUE,US|洛杉磯,North America,Los Angeles,169,11.22
91.149.239.238,443,443,TRUE,US|洛杉磯,North America,Los Angeles,168,12.73
154.21.91.6,15390,443,TRUE,US|洛杉磯,North America,Los Angeles,164,13.27
154.17.9.70,882,443,TRUE,US|洛杉磯,North America,Los Angeles,172,13.54
152.70.155.147,2087,2087,TRUE,US|洛杉磯,North America,Los Angeles,190,15.67
38.59.241.77,56470,443,TRUE,US|聖何塞,North America,San Jose,156,5.24
38.59.249.179,18090,443,TRUE,US|聖何塞,North America,San Jose,158,6.98
185.218.7.217,1443,443,TRUE,US|聖何塞,North America,San Jose,162,7.03
37.123.193.101,17475,443,TRUE,US|聖何塞,North America,San Jose,181,11.8
37.123.193.228,19220,443,TRUE,US|聖何塞,North America,San Jose,192,11.99
38.59.249.142,20657,443,TRUE,US|聖何塞,North America,San Jose,156,12.81
47.236.102.102,2082,2082,FALSE,SG|新加坡,Asia Pacific,Singapore,245,8.09
47.236.93.176,8880,8880,FALSE,SG|新加坡,Asia Pacific,Singapore,249,8.1
47.237.11.182,2086,2086,FALSE,SG|新加坡,Asia Pacific,Singapore,255,8.2
47.236.9.152,2083,2083,TRUE,SG|新加坡,Asia Pacific,Singapore,264,8.33
